epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.0024,0.70692,4.86571,0.00484,0.00483,0.91525,0.54777,0.48386,0.46804,5.19203,0.00568,0.000654971,0.000654971,0.000654971
2,68.4191,0.7828,3.20897,0.00554,0.75574,0.78666,0.85975,0.76176,0.56483,3.45521,0.00721,0.00131291,0.00131291,0.00131291
3,89.8105,0.83529,2.24889,0.00586,0.85398,0.84746,0.93181,0.78316,0.70856,1.21622,0.00955,0.00196206,0.00196206,0.00196206
4,108.976,0.82833,1.65801,0.00628,0.84411,0.9322,0.95155,0.81305,0.65,0.8932,0.00884,0.0019604,0.0019604,0.0019604
5,129.137,0.80041,1.28448,0.00593,0.80262,0.9322,0.93733,0.78663,0.7157,0.60584,0.0112,0.0019472,0.0019472,0.0019472
6,147.988,0.76465,0.95038,0.0056,0.93096,0.88136,0.96826,0.88665,0.4561,0.37438,0.00593,0.001934,0.001934,0.001934
7,168.302,0.72152,0.79959,0.00523,0.8772,0.9322,0.97259,0.86749,0.49093,0.37931,0.0067,0.0019208,0.0019208,0.0019208
8,187.205,0.74698,0.74276,0.00557,0.90272,0.9322,0.97953,0.83864,0.66817,0.34984,0.00977,0.0019076,0.0019076,0.0019076
9,207.295,0.67603,0.63907,0.005,0.82364,0.94915,0.9528,0.8269,0.6051,0.41397,0.00729,0.0018944,0.0018944,0.0018944
10,226.278,0.71971,0.60292,0.00534,0.89405,0.84746,0.95674,0.88428,0.43611,0.37354,0.00587,0.0018812,0.0018812,0.0018812
11,246.329,0.68382,0.5406,0.00492,0.94895,0.94514,0.97752,0.89763,0.44877,0.37968,0.00564,0.001868,0.001868,0.001868
12,265.399,0.65591,0.53308,0.00489,0.80692,0.99172,0.95217,0.86458,0.44944,0.38739,0.00598,0.0018548,0.0018548,0.0018548
13,285.614,0.64386,0.47026,0.00459,0.93212,0.94915,0.97446,0.90937,0.40853,0.30452,0.00571,0.0018416,0.0018416,0.0018416
14,304.772,0.65654,0.48304,0.00483,0.91762,0.9322,0.96599,0.85825,0.53109,0.40788,0.00776,0.0018284,0.0018284,0.0018284
15,325.092,0.65863,0.46671,0.00505,0.90448,0.96297,0.97915,0.92326,0.39606,0.25505,0.00552,0.0018152,0.0018152,0.0018152
16,344.21,0.63785,0.46002,0.00466,1,0.94224,0.99131,0.9239,0.4285,0.2437,0.00562,0.001802,0.001802,0.001802
17,364.465,0.65028,0.44601,0.00479,0.91451,0.9661,0.9791,0.8808,0.50604,0.27941,0.00665,0.0017888,0.0017888,0.0017888
18,383.725,0.63128,0.40191,0.0046,0.92467,0.91525,0.97611,0.90882,0.39303,0.30599,0.00584,0.0017756,0.0017756,0.0017756
19,404.093,0.60697,0.40177,0.00445,0.96733,0.9322,0.98726,0.89433,0.46808,0.24556,0.00626,0.0017624,0.0017624,0.0017624
20,422.98,0.60082,0.35887,0.00444,1,0.97646,0.99437,0.92734,0.41027,0.19892,0.00506,0.0017492,0.0017492,0.0017492
21,443.33,0.61888,0.36669,0.00437,0.97611,0.91525,0.98633,0.89181,0.47522,0.23314,0.00603,0.001736,0.001736,0.001736
22,462.422,0.60395,0.36822,0.00436,0.98248,0.84746,0.97502,0.8982,0.44395,0.29643,0.0054,0.0017228,0.0017228,0.0017228
23,482.886,0.60401,0.36695,0.00429,0.94702,0.90889,0.97793,0.91165,0.38741,0.29782,0.0052,0.0017096,0.0017096,0.0017096
24,501.744,0.55944,0.33816,0.00406,0.91301,0.98305,0.98548,0.9206,0.39023,0.23184,0.00555,0.0016964,0.0016964,0.0016964
25,521.964,0.57902,0.34308,0.00422,0.96502,0.93518,0.98798,0.91316,0.42262,0.23531,0.00538,0.0016832,0.0016832,0.0016832
26,541.127,0.56812,0.34567,0.00422,0.99228,0.9322,0.99153,0.9147,0.37396,0.31663,0.00561,0.00167,0.00167,0.00167
27,561.034,0.58439,0.354,0.00423,1,0.97884,0.99483,0.88893,0.45188,0.19366,0.00589,0.0016568,0.0016568,0.0016568
28,579.885,0.55709,0.33119,0.004,0.96395,0.9661,0.98267,0.90411,0.40348,0.30888,0.00596,0.0016436,0.0016436,0.0016436
29,599.946,0.55493,0.33305,0.00396,0.90768,1,0.98648,0.9034,0.43677,0.2303,0.00499,0.0016304,0.0016304,0.0016304
30,619.016,0.52993,0.32554,0.00389,0.9505,0.97648,0.99038,0.94388,0.35105,0.18945,0.00477,0.0016172,0.0016172,0.0016172
31,639.135,0.56692,0.36264,0.00421,0.94243,0.98305,0.98605,0.94926,0.31848,0.23537,0.00407,0.001604,0.001604,0.001604
32,658.363,0.54433,0.32121,0.00385,0.94781,0.9661,0.99042,0.95367,0.28757,0.17197,0.00384,0.0015908,0.0015908,0.0015908
33,678.597,0.54929,0.31967,0.00396,0.94991,0.96423,0.98807,0.94844,0.33275,0.19468,0.0046,0.0015776,0.0015776,0.0015776
34,698.045,0.55625,0.34283,0.00425,0.96529,0.94291,0.98905,0.9114,0.40091,0.22111,0.00566,0.0015644,0.0015644,0.0015644
35,718.637,0.51772,0.29634,0.00371,0.96665,0.98242,0.99335,0.93683,0.38898,0.18161,0.00483,0.0015512,0.0015512,0.0015512
36,737.736,0.5425,0.31415,0.00395,0.98375,0.9661,0.99309,0.93357,0.38116,0.18112,0.00526,0.001538,0.001538,0.001538
37,758.117,0.52876,0.31263,0.0037,0.96148,0.94915,0.98711,0.91368,0.41372,0.22788,0.00522,0.0015248,0.0015248,0.0015248
38,777.555,0.51542,0.30689,0.00383,0.96549,0.94836,0.988,0.90489,0.43842,0.30072,0.00546,0.0015116,0.0015116,0.0015116
39,797.857,0.53209,0.30308,0.00377,0.98322,0.9934,0.99483,0.90201,0.41135,0.24275,0.00558,0.0014984,0.0014984,0.0014984
40,817.102,0.50091,0.28373,0.00364,0.92001,0.97472,0.9814,0.91466,0.40044,0.24222,0.00565,0.0014852,0.0014852,0.0014852
41,837.677,0.4953,0.28773,0.00367,1,0.93029,0.98944,0.91769,0.41171,0.23007,0.00595,0.001472,0.001472,0.001472
42,857.074,0.5328,0.28655,0.0039,0.95242,0.9661,0.99136,0.94696,0.33368,0.17563,0.00472,0.0014588,0.0014588,0.0014588
43,877.203,0.50656,0.28981,0.00359,0.97889,0.94915,0.98713,0.94589,0.33534,0.2219,0.00438,0.0014456,0.0014456,0.0014456
44,896.036,0.51126,0.27369,0.00358,0.93292,1,0.99077,0.93322,0.37424,0.19331,0.00504,0.0014324,0.0014324,0.0014324
45,916.293,0.48182,0.27722,0.00338,0.95147,0.99696,0.99355,0.94001,0.33132,0.18542,0.00422,0.0014192,0.0014192,0.0014192
46,935.53,0.51882,0.28148,0.00363,0.93624,0.99554,0.98987,0.91362,0.41947,0.23808,0.00603,0.001406,0.001406,0.001406
47,955.765,0.51852,0.27764,0.0037,1,0.97932,0.995,0.93859,0.36112,0.18311,0.00499,0.0013928,0.0013928,0.0013928
48,974.698,0.51668,0.27444,0.00379,0.98236,0.9439,0.99079,0.95309,0.29962,0.18045,0.00399,0.0013796,0.0013796,0.0013796
49,994.994,0.48611,0.26632,0.00342,0.98321,0.99277,0.99367,0.94661,0.33457,0.16861,0.00433,0.0013664,0.0013664,0.0013664
50,1014.08,0.46805,0.2709,0.00341,0.92034,0.97912,0.98872,0.92704,0.37503,0.18033,0.00431,0.0013532,0.0013532,0.0013532
51,1034.31,0.47882,0.2687,0.0033,0.93386,0.98305,0.99003,0.9439,0.3391,0.19114,0.00428,0.00134,0.00134,0.00134
52,1053.41,0.46673,0.26,0.00329,0.9799,1,0.9945,0.95731,0.28748,0.12966,0.00371,0.0013268,0.0013268,0.0013268
53,1073.84,0.4679,0.2667,0.00342,0.98073,0.9661,0.9912,0.95624,0.30044,0.15713,0.00405,0.0013136,0.0013136,0.0013136
54,1093.44,0.45208,0.23063,0.00317,0.96193,0.98305,0.99213,0.95287,0.30277,0.16097,0.00415,0.0013004,0.0013004,0.0013004
55,1114.09,0.46052,0.24946,0.00315,0.99659,0.98305,0.99408,0.94137,0.3848,0.16573,0.00469,0.0012872,0.0012872,0.0012872
56,1133.46,0.45787,0.25587,0.00309,0.99511,1,0.995,0.93174,0.40796,0.1706,0.00548,0.001274,0.001274,0.001274
57,1153.78,0.45029,0.24602,0.00313,0.98214,0.93198,0.98966,0.95736,0.30419,0.19281,0.00388,0.0012608,0.0012608,0.0012608
58,1172.85,0.4684,0.24477,0.00338,0.97684,0.98305,0.99299,0.94154,0.35466,0.15653,0.00508,0.0012476,0.0012476,0.0012476
59,1193.34,0.46004,0.25015,0.00325,0.96252,0.98305,0.99143,0.94658,0.32691,0.16695,0.00429,0.0012344,0.0012344,0.0012344
60,1212.45,0.46049,0.24876,0.00321,0.99689,0.9661,0.99374,0.95783,0.29032,0.14916,0.00386,0.0012212,0.0012212,0.0012212
61,1232.57,0.44876,0.24186,0.00309,0.9499,1,0.99253,0.92531,0.3737,0.1814,0.00538,0.001208,0.001208,0.001208
62,1251.73,0.42036,0.22894,0.00283,0.93617,0.99449,0.99104,0.95434,0.30129,0.15401,0.00372,0.0011948,0.0011948,0.0011948
63,1271.93,0.43078,0.23769,0.00307,0.98296,0.97777,0.99296,0.9449,0.31198,0.18284,0.00412,0.0011816,0.0011816,0.0011816
64,1291.14,0.42969,0.23895,0.00301,0.97613,0.98305,0.99303,0.96731,0.27672,0.158,0.00331,0.0011684,0.0011684,0.0011684
65,1311.36,0.43698,0.23582,0.00299,0.98292,1,0.9945,0.93629,0.34747,0.14068,0.00479,0.0011552,0.0011552,0.0011552
66,1330.31,0.4368,0.2481,0.00313,0.99855,1,0.995,0.95391,0.30873,0.10525,0.00407,0.001142,0.001142,0.001142
67,1350.49,0.41533,0.23367,0.00305,0.9672,0.9996,0.99433,0.95943,0.2653,0.11214,0.00328,0.0011288,0.0011288,0.0011288
68,1369.74,0.43001,0.23654,0.0031,0.96715,0.98305,0.99315,0.94653,0.31351,0.15219,0.00399,0.0011156,0.0011156,0.0011156
69,1390.22,0.42453,0.24348,0.0029,0.99882,1,0.995,0.96893,0.27892,0.09499,0.00381,0.0011024,0.0011024,0.0011024
70,1409.8,0.40958,0.20695,0.00293,0.99173,0.98305,0.99467,0.95328,0.32118,0.1306,0.00428,0.0010892,0.0010892,0.0010892
